iter	Passed	Remaining
411	3328	8791
412	3336	8780
413	3343	8769
414	3350	8760
415	3357	8748
416	3364	8739
417	3372	8728
418	3379	8720
419	3387	8709
420	3395	8701
421	3402	8690
422	3410	8683
423	3417	8673
424	3425	8663
425	3432	8654
426	3439	8643
427	3447	8634
428	3454	8624
429	3469	8633
430	3478	8626
431	3487	8621
432	3499	8622
433	3509	8620
434	3519	8616
435	3529	8612
436	3538	8606
437	3549	8605
438	3559	8601
439	3567	8593
440	3574	8583
441	3581	8572
442	3588	8561
443	3595	8551
444	3602	8541
445	3610	8532
446	3618	8522
447	3625	8513
448	3632	8503
449	3640	8494
450	3647	8483
451	3655	8475
452	3662	8465
453	3670	8455
454	3677	8446
455	3685	8437
456	3692	8427
457	3699	8417
458	3707	8408
459	3715	8399
460	3722	8389
461	3729	8379
462	3737	8369
463	3744	8360
464	3752	8351
465	3759	8342
466	3766	8331
467	3774	8322
468	3781	8312
469	3789	8303
470	3796	8295
471	3805	8287
472	3812	8277
473	3819	8268
474	3827	8259
475	3835	8250
476	3842	8241
477	3851	8233
478	3858	8225
479	3866	8215
480	3873	8205
481	3880	8196
482	3888	8188
483	3896	8179
484	3904	8171
485	3911	8161
486	3919	8152
487	3926	8143
488	3934	8135
489	3942	8125
490	3949	8117
491	3956	8106
492	3964	8098
493	3971	8088
494	3978	8077
495	3986	8068
496	3992	8058
497	4000	8049
498	4007	8039
499	4014	8029
500	4021	8019
501	4029	8010
502	4037	8001
503	4043	7991
504	4051	7981
505	4058	7971
506	4065	7963
507	4073	7954
508	4080	7944
509	4087	7933
510	4094	7924
511	4102	7915
512	4109	7906
513	4116	7896
514	4123	7886
515	4130	7877
516	4137	7867
517	4145	7858
518	4152	7849
519	4159	7839
520	4166	7829
521	4174	7820
522	4181	7810
523	4188	7801
524	4195	7791
525	4202	7781
526	4208	7769
527	4215	7760
528	4222	7749
529	4229	7740
530	4237	7731
531	4244	7722
532	4251	7713
533	4258	7703
534	4265	7694
535	4273	7685
536	4280	7676
537	4287	7666
538	4295	7657
539	4302	7648
540	4309	7639
541	4316	7629
542	4323	7619
543	4330	7610
544	4337	7600
545	4344	7590
546	4352	7582
547	4359	7573
548	4366	7563
549	4373	7553
550	4380	7543
551	4387	7534
552	4394	7525
553	4402	7517
554	4410	7509
555	4417	7499
556	4424	7490
557	4430	7480
558	4438	7470
559	4445	7462
560	4452	7452
561	4459	7443
562	4466	7433
563	4473	7423
564	4480	7414
565	4487	7404
566	4494	7395
567	4501	7386
568	4508	7376
569	4515	7367
570	4522	7357
571	4529	7348
572	4536	7339
573	4543	7330
574	4550	7320
575	4558	7311
576	4565	7302
577	4572	7293
578	4579	7284
579	4587	7276
580	4594	7267
581	4602	7259
582	4610	7251
583	4617	7242
584	4624	7233
585	4631	7223
586	4638	7213
587	4644	7204
588	4651	7194
589	4658	7185
590	4665	7175
591	4672	7167
592	4679	7157
593	4686	7148
594	4693	7138
595	4700	7128
596	4707	7120
597	4714	7110
598	4721	7101
599	4728	7092
600	4735	7083
601	4742	7073
602	4748	7064
603	4756	7056
604	4763	7046
605	4770	7036
606	4776	7027
607	4784	7018
608	4791	7009
609	4797	7000
610	4805	6991
611	4812	6982
612	4819	6973
613	4826	6964
614	4833	6955
615	4840	6946
616	4847	6937
617	4854	6928
618	4861	6919
619	4868	6910
620	4875	6901
621	4882	6892
622	4889	6883
623	4897	6874
624	4904	6866
625	4912	6858
626	4920	6850
627	4927	6841
628	4934	6833
629	4941	6823
630	4948	6814
631	4955	6805
632	4962	6796
633	4969	6788
634	4976	6779
635	4983	6770
636	4991	6762
637	4998	6753
638	5006	6745
639	5013	6736
640	5020	6728
641	5028	6720
642	5035	6711
643	5042	6702
644	5049	6694
645	5056	6684
646	5063	6675
647	5070	6666
648	5077	6657
649	5084	6648
650	5091	6640
651	5098	6631
652	5105	6622
653	5112	6613
654	5119	6604
655	5126	6596
656	5134	6587
657	5141	6579
658	5148	6570
659	5155	6561
660	5162	6552
661	5169	6543
662	5176	6534
663	5183	6526
664	5190	6517
665	5197	6508
666	5204	6499
667	5211	6490
668	5218	6482
669	5225	6473
670	5232	6464
671	5239	6455
672	5246	6447
673	5253	6437
674	5259	6428
675	5266	6419
676	5273	6411
677	5281	6402
678	5287	6393
679	5294	6384
680	5301	6376
681	5308	6367
682	5315	6358
683	5321	6349
684	5329	6340
685	5335	6331
686	5342	6322
687	5349	6313
688	5356	6304
689	5363	6295
690	5370	6287
691	5377	6278
692	5384	6270
693	5391	6261
694	5398	6252
695	5405	6244
696	5412	6235
697	5419	6227
698	5426	6218
699	5433	6209
700	5441	6201
701	5448	6193
702	5456	6185
703	5463	6177
704	5471	6170
705	5479	6162
706	5486	6154
707	5494	6146
708	5502	6138
709	5509	6130
710	5517	6122
711	5524	6114
712	5531	6105
713	5538	6097
714	5545	6088
715	5552	6079
716	5559	6071
717	5566	6062
718	5573	6053
719	5580	6045
720	5587	6037
721	5596	6030
722	5606	6025
723	5637	6042
724	5644	6034
725	5664	6039
726	5682	6042
727	5701	6046
728	5709	6038
729	5718	6031
730	5726	6024
731	5733	6015
732	5740	6007
733	5748	5998
734	5756	5991
735	5763	5982
736	5771	5974
737	5778	5966
738	5785	5957
739	5793	5949
740	5800	5941
741	5807	5932
742	5814	5924
743	5821	5915
744	5828	5906
745	5836	5898
746	5843	5890
747	5852	5883
748	5858	5874
749	5866	5866
750	5873	5857
751	5880	5849
752	5887	5841
753	5895	5832
754	5902	5824
755	5910	5816
756	5917	5808
757	5925	5800
758	5932	5792
759	5939	5783
760	5947	5775
761	5953	5766
762	5961	5758
763	5968	5749
764	5975	5741
765	5982	5732
766	5990	5724
767	5997	5716
768	6004	5707
769	6011	5699
770	6019	5691
771	6025	5682
772	6034	5675
773	6041	5667
774	6050	5659
775	6057	5651
776	6064	5643
777	6072	5635
778	6080	5627
779	6086	5618
780	6094	5610
781	6101	5601
782	6107	5592
783	6115	5584
784	6121	5575
785	6129	5568
786	6136	5559
787	6144	5551
788	6151	5543
789	6159	5535
