iter	Quantile:alpha=0.7
0	0.125247386
1	0.124677757
2	0.1240846813
3	0.1236264179
4	0.1231510666
5	0.1226800884
6	0.1222320527
7	0.1218243451
8	0.1214380537
9	0.121034977
10	0.1206584329
11	0.1203210025
12	0.1199837306
13	0.1196678365
14	0.1193486131
15	0.119015203
16	0.1186976799
17	0.1184165949
18	0.1181635314
19	0.1178855061
20	0.1176385457
21	0.1173929201
22	0.1171809414
23	0.1169376871
24	0.1167575743
25	0.1165522878
26	0.1163315409
27	0.1161331702
28	0.1159069186
29	0.1157561146
30	0.1155443088
31	0.1153548972
32	0.1150727395
33	0.1148086712
34	0.114618354
35	0.1144770871
36	0.1142967791
37	0.1141584368
38	0.1139569677
39	0.1137960357
40	0.1136521968
41	0.113328901
42	0.1130301419
43	0.1129262854
44	0.1128054387
45	0.1126540814
46	0.1125270776
47	0.1123482785
48	0.1122471609
49	0.112130014
50	0.1119604019
51	0.1118247603
52	0.1114114797
53	0.1110618268
54	0.1109662451
55	0.1108941058
56	0.1108041909
57	0.1106847793
58	0.1102491647
59	0.1101495807
60	0.1099097864
61	0.1097555251
62	0.1096908669
63	0.1096173296
64	0.1095071283
65	0.1094867862
66	0.1090349891
67	0.1089078575
68	0.108813862
69	0.1087453016
70	0.1082831792
71	0.1082162131
72	0.1081226956
73	0.1080550693
74	0.1076292294
75	0.1075156616
76	0.107420254
77	0.1073025243
78	0.1069963331
79	0.1068309967
80	0.106674586
81	0.1064358295
82	0.1061709897
83	0.1058869633
84	0.1055356635
85	0.1054285583
86	0.105349162
87	0.1052758117
88	0.1050757387
89	0.1049940284
90	0.1049094847
91	0.1048567783
92	0.1045971329
93	0.1043593122
94	0.1043077785
95	0.1040222312
96	0.1039205317
97	0.1038657061
98	0.1038096712
99	0.1036819725
100	0.1034776885
101	0.1034136449
102	0.1033802347
103	0.1032773662
104	0.1032182647
105	0.1031599208
106	0.1031002615
107	0.1030621506
108	0.1029647254
109	0.1027129907
110	0.1024570867
111	0.1023976046
112	0.1023541423
113	0.1022937705
114	0.1020515138
115	0.1017936325
116	0.1016236311
117	0.1014623169
118	0.1012490885
119	0.1012147417
120	0.1012026443
121	0.1011109451
122	0.1010706138
123	0.1008829298
124	0.1008521371
125	0.1007420049
126	0.1006836715
127	0.100462677
128	0.100457919
129	0.1002330818
130	0.1001035251
131	0.1000709512
132	0.09992095505
133	0.09970040719
134	0.09961288939
135	0.09953347114
136	0.09928422379
137	0.09905715579
138	0.09898838181
139	0.09875490586
140	0.09866024339
141	0.09845601042
142	0.09826717504
143	0.09820366263
144	0.09803474512
145	0.09797525698
146	0.0979283665
147	0.09778764673
148	0.097602873
149	0.09743280277
150	0.09738421808
151	0.09722910231
152	0.09717830878
153	0.09700833982
154	0.09697256449
155	0.09691905966
156	0.09688428507
157	0.09685093066
158	0.09677219355
159	0.09659173226
160	0.09651543202
161	0.09649984981
162	0.09643784926
163	0.09638599099
164	0.09625011752
165	0.09624749945
166	0.09610239146
167	0.0960415985
168	0.09600873252
169	0.09598345761
170	0.09589016572
171	0.09578088338
172	0.09575134439
173	0.095650361
174	0.09562824419
175	0.09557333667
176	0.095444379
177	0.09537405163
178	0.09533364964
179	0.09529640379
180	0.09525602551
181	0.09514334278
182	0.09502460208
183	0.09498840956
184	0.09495599303
185	0.09491370898
186	0.09478381348
187	0.0946651403
188	0.09462210186
189	0.09449241692
190	0.09447369499
191	0.09443575439
192	0.09439450504
193	0.09434778686
194	0.09430876314
195	0.09424964793
196	0.09424814987
197	0.09416468757
198	0.09410272399
199	0.09396086484
200	0.09391911046
201	0.09389163581
202	0.09389302356
203	0.0938584459
204	0.09381478543
205	0.09376768357
206	0.09368730904
207	0.0936460808
208	0.09358116437
209	0.09356998673
210	0.09354084842
211	0.0935015724
212	0.09339801023
213	0.09339408785
214	0.09336256081
215	0.09333479973
216	0.09325491045
217	0.09319145639
218	0.0931533748
219	0.09309874875
220	0.09304690279
221	0.09301814105
222	0.09300378935
223	0.0928827735
224	0.09286840965
225	0.09285237443
226	0.09274732667
227	0.09264841154
228	0.09261933608
229	0.09257874297
230	0.09254600287
231	0.09249987988
232	0.0924715814
233	0.09243442624
234	0.09237574637
235	0.09234314849
236	0.09231446992
237	0.09225249117
238	0.09223645145
239	0.09216289326
240	0.09214960571
241	0.0921021698
242	0.09208891134
243	0.09205100053
244	0.09199262834
245	0.09195313602
246	0.09193525014
247	0.09186762916
248	0.09181567072
249	0.09176731059
250	0.09174789665
251	0.09172362285
252	0.0916991018
253	0.0916692499
254	0.0916312451
255	0.09153912496
256	0.09139603523
257	0.09133895909
258	0.09127674303
259	0.09123814358
260	0.09120689747
261	0.0911425934
262	0.09109988574
263	0.09105065596
264	0.09100906763
265	0.09098559702
266	0.09095925679
267	0.09093695079
268	0.09091606717
269	0.09086012416
270	0.09083810178
271	0.09083698212
272	0.09080718273
273	0.09080127778
274	0.09076048661
275	0.09072055508
276	0.09069190007
277	0.09066578486
278	0.09066400309
279	0.09063285783
280	0.09061135023
281	0.09056841978
282	0.09055056403
283	0.09052772097
284	0.09050521172
285	0.09048231637
286	0.09046298148
287	0.09046441019
288	0.09044103354
289	0.0904236683
290	0.09041447099
291	0.0903777171
292	0.09028680617
293	0.09023330523
294	0.09019676912
295	0.09018193655
